Timestamp,Name or initials of person entering,Article title,Article date,Article link,Short description of impact/response,Countries involved (multiple separated by semicolons),Supply chain stage(s) involved,Production type involved,Production scale involved,Specific species involved (multiple separated by semicolons),Product form(s) involved,Check any impact/response categories that apply,"If the impact or response occurred on a specific date, when did it occur?","If the impact or response did not occur on a specific date, but did occur during a specific time period (e.g., during a given month or throughout the first quarter of 2020), specify below",State or province of effect/restriction (NA if country-wide),County/City/Town of restriction (NA if state- or country-wide),Species groups involved (if known),"End date of effect or restriction, if relevant"
pre-form entry,JAG,"Chile, Norway sellers redirect salmon to US as coronavirus-hit China cancels orders",1/28/20,https://www.undercurrentnews.com/2020/01/28/chile-norway-sellers-redirect-salmon-to-us-as-coronavirus-hit-china-cancels-orders/,"China cancels salmon shipments, some redirected to US market",Chile; China; US,,Aquaculture,Industrial,Atlantic salmon,Multiple,Trade,,Preceeding week,,,,
pre-form entry,JAG,"Coronavirus causes China to hit brakes on Canadian live lobster, other shellfish",1/28/20,https://www.undercurrentnews.com/2020/01/28/coronavirus-causes-china-to-hit-brakes-on-canadian-live-lobster-other-shellfish/,China cancels Canadian live lobster shipments,China; Canada,,Capture fishery,Small-scale and Industrial,Lobster,Live,Trade,1/25/20,,,,,
pre-form entry,JAG,Australia’s rock lobster firms halt exports to China amid coronavirus outbreak,1/28/20,https://www.undercurrentnews.com/2020/01/28/australias-rock-lobster-firms-halt-exports-to-china-amid-coronavirus-outbreak/,Australia’s rock lobster firms have halted exports to China due to the outbreak of coronavirus amidst what is usually the annual peak in demand for Chinese New Year,China; Australia,,Capture fishery,Small-scale and Industrial,Rock lobster,Live,Trade,,Preceeding week,,,,
pre-form entry,JAG,Coronavirus ripples disrupt key Indian crab trade,1/28/20,https://www.undercurrentnews.com/2020/01/28/coronavirus-ripples-disrupt-key-indian-crab-trade/,"With restrictions imposed on exports of live red crab to China, many wholesale dealers in India's Kerala state have stopped stocking the species procured by small-scale dealers and fishermen",India; China,,Unclear,Small-scale,Crab,Live,Industry adaptation,,Before 28-Jan-20,,,,
pre-form entry,JAG,Russia closes market to Mowi's Chilean farmed salmon,1/31/20,https://www.intrafish.com/trade/russia-closes-market-to-mowis-chilean-farmed-salmon/2-1-748477,Russia bans imports from Mowi's Chilean operations,Chile; Russia,,Aquaculture,Industrial,Atlantic salmon,Multiple,Trade policy,2/17/20,,,,,
pre-form entry,JAG,SalmonChile confirms shipments to China have stopped due to coronavirus spread,2/7/20,https://www.undercurrentnews.com/2020/02/07/breaking-news-salmonchile-suspends-shipments-to-china-until-coronavirus-health-emergency-is-under-control/,"Chilean and Norwegian salmon shipments to China had been canceled by buyers, due to the impact of the coronavirus on consumption.",China; Chile; Norway,,Aquaculture,Industrial,Salmon,All,Trade,1/28/20,,,,,
pre-form entry,JAG,Peru stops seafood shipments to China due to port logjam,2/14/20,https://www.undercurrentnews.com/2020/02/14/peru-stops-seafood-shipments-to-china-due-to-port-logjam/,"Peru has stopped exports to China of fish for human consumption due to port logjams, the country's committee of fisheries and aquaculture of the national society of industries (SNI) said on Feb. 13",Peru; China,,Both,,All,All,Trade,2/13/20,,,,,
pre-form entry,JAG,"Cold storage at Shanghai, Tianjin ports ‘full’ as coronavirus hits China seafood logistics",2/14/20,https://www.undercurrentnews.com/2020/02/14/cold-storage-at-shanghai-tianjin-ports-full-as-coronavirus-hits-logistics/,Announced that cold storage warehouses in Tianjin and Shanghai -- two of the world's busiest ports - were full; shipping companies docking at Shanghai port may face congestion fees or be re-routed to other ports in China,China,,Both,,All,All,Trade,2/12/20,,,,,
pre-form entry,HEF,The cost of the coronavirus to Myanmar’s economy,2/19/20,https://frontiermyanmar.net/en/the-cost-of-the-coronavirus-to-myanmars-economy,"“The problem is that there are no more buyers in China,” Min Min told Frontier on February 10. “The buyers are from provinces near the border gates, but they cannot distribute those products to other Chinese provinces because of the outbreak. That’s why our trading income is going to drop.”",China; Myanmar,,Aquaculture,Small-scale and Industrial,All,Not specified,Trade,2/10/20,,,,,
5/11/20 22:34,JAG,South Africa's lobster catchers suffer in coronavirus fallout,2/21/20,https://www.reuters.com/article/us-china-health-safrica/south-africas-lobster-catchers-suffer-in-coronavirus-fallout-idUSKBN20F1KE,The lobster catchers of South Africa’s Western Cape have become an unexpected casualty of the coronavirus after China halted imports of the West Coast rock lobster last month as part of measures to contain the outbreak.,South Africa; China,Capture fishery and/or aquaculture production,Capture fishery,Unclear,Lobsters,Live,Trade,1/25/20,,,,,
