"3M Company","BCUSCAT","COA",,325520,327910,326130,339114,334412,334413,334416,334417,334418,334419,334290,33592,334112,334118,334510,339112,327120,327110,325612,334613,334614
"Aalfs Manufacturing, Inc. ","BCUSCAT",,,315210,,,,,,,,,,,,,,,,,,,,
"ABB","CMAC2",,,335311,335313,335314,334416,334417,334419,221121,333612,333613,333618,334512,334513,335312,334413,,,,,,,
"Abbott Laboratories","COA",,,339115,325411,325412,325413,325414,,,,,,,,,,,,,,,,
"Agriculture Sciences, Inc. ","BCUSCAT",,,325320,325311,325312,,,,,,,,,,,,,,,,,,
"Agron","USHMC2",,,315220,325240,315990,,,,,,,,,,,,,,,,,,
"Allen Global Holdings","COA",,,333413,324110,,,,,,,,,,,,,,,,,,,
"Altria Group, Inc. ","BCUSCAT","CMAC2",,312230,,,,,,,,,,,,,,,,,,,,
"American & Efird, Inc. ","BCUSCAT",,,313110,,,,,,,,,,,,,,,,,,,,
"American Textile Company ","BCUSCAT",,,314120,,,,,,,,,,,,,,,,,,,,
"Anheuser-Busch, Cos. Inc.","COA",,,312120,,,,,,,,,,,,,,,,,,,,
"Archer Daniels Midland Co.","COA",,,311340,311351,311612,31181,311821,311224,311211,311212,311221,311111,311119,325193,325180,325194,325199,322110,,,,,
"Artwood Puller International","BCUSCAT",,,333249,,,,,,,,,,,,,,,,,,,,
"Asheboro Elastics Corp ","BCUSCAT",,,313220,,,,,,,,,,,,,,,,,,,,
"Atlantis International Inc. ","BCUSCAT",,,325998,324110,324191,,,,,,,,,,,,,,,,,,
"Atlas Rapid-Rack ","BCUSCAT",,,331318,332313,332618,334417,,,,,,,,,,,,,,,,,
"Avery Dennison Corp. ","BCUSCAT",,,323111,326112,322220,,,,,,,,,,,,,,,,,,
"Avon Products, Inc.","COA",,,325620,,,,,,,,,,,,,,,,,,,,
"Bacardi USA Inc. ","BCUSCAT",,,312140,312130,,,,,,,,,,,,,,,,,,,
"Bemis Manufacturing Company ","BCUSCAT",,,326191,321999,326199,326121,326122,339113,339114,334514,332911,332912,,,,,,,,,,,
"Bert & Wetta Sales, Inc. ","BCUSCAT",,,311119,,,,,,,,,,,,,,,,,,,,
"BIC Corporation","COA",,,339940,332215,339999,,,,,,,,,,,,,,,,,,
"Boeing Company ","BCUSCAT","COA",,336411,336412,336413,336414,336415,336419,,,,,,,,,,,,,,,
"Bristol-Myers Squibb Co. ","BCUSCAT",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,
"Brown-Forman","CMAC2",,,312130,312140,,,,,,,,,,,,,,,,,,,
"Buhler Quality Yarns Corp. ","BCUSCAT",,,313110,,,,,,,,,,,,,,,,,,,,
"Bunge","COA",,,311211,311212,311221,311224,311225,311111,311119,311230,311830,311821,311821,311919,311941,325520,325998,324110,325193,,,,
"Burlington Apparel Group","BCUSCAT",,,313110,313210,313220,313230,313240,313330,313320,315110,315190,315210,315220,315240,315280,315990,,,,,,,
"Burlington House Fabrics ","BCUSCAT",,,313110,313210,313220,313230,313240,313330,313320,,,,,,,,,,,,,,
"Campbell Soup Company","CMAC2",,,311421,311422,311991,31194,312111,311919,311919,,,,,,,,,,,,,,
"Cargill, Inc. ","BCUSCAT","COA","CMAC2",311211,311212,311221,311224,311225,311351,311611,311612,311613,311615,311930,31194,311314,111920,111120,111140,111150,111199,325211,324191,
"Carole Wren Inc. ","BCUSCAT",,,315240,,,,,,,,,,,,,,,,,,,,
