"3M","FTABC1","3M",,325520,327910,326130,339114,334412,334413,334416,334417,334418,334419,334290,33592,334112,334118,334510,339112,327120,327110,325612,334613,334614,,
"Abbott Laboratories","FTABC1","ABBT",,339115,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,
"ABB Inc. ","FTABC1",,,335311,335313,335314,334416,334417,334419,221121,333612,333613,333618,334512,334513,335312,334413,,,,,,,,,
"Accuray, Inc.","USKBC",,,339112,339113,,,,,,,,,,,,,,,,,,,,,
"Agilent Technologies","FTABC1",,,334510,334516,339115,325411,325412,325413,325414,,,,,,,,,,,,,,,,
"Agri Beef Co.","AGF1",,,112111,311611,311612,,,,,,,,,,,,,,,,,,,,
"Air Products and Chemicals, Inc.","FTABC1",,,325120,325180,325613,325211,325510,325520,325991,,,,,,,,,,,,,,,,
"Air Rover, Inc. ","FTABC1",,,333415,,,,,,,,,,,,,,,,,,,,,,
"Alabama River Pulp Company","FTABC2",,,322110,,,,,,,,,,,,,,,,,,,,,,
"Albemarle","FTABC1",,,325211,325199,325180,325211,,,,,,,,,,,,,,,,,,,
"Alcatel-Lucent","FTABC2",,,334210,334220,334290,334413,,,,,,,,,,,,,,,,,,,
"Alfa Transformer Company","FTABC1",,,334416,335311,335312,335999,,,,,,,,,,,,,,,,,,,
"Almell Products, Ltd.","FTABC1",,,339115,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,
"Altria Group, Inc.","FTABC1",,,312230,,,,,,,,,,,,,,,,,,,,,,
"American Cast Iron Pipe Company","FTABC1",,,331210,332996,339991,324191,332911,332912,332913,332919,,,,,,,,,,,,,,,
"American Coatings, Inc.","FTABC1",,,325510,325520,325611,,,,,,,,,,,,,,,,,,,,
"American Standard","FTABC1",,,327110,326191,332510,337110,337121,337122,337124,337125,337127,,,,,,,,,,,,,,
"Amway Corporation","FTABC2","USKBC",,325620,325611,325612,325411,325412,325413,325414,,,,,,,,,,,,,,,,
"Anderson Technologies","FTABC1",,,333511,326199,,,,,,,,,,,,,,,,,,,,,
"ANSAC","FTABC1","ANSAC",,212391,325180,,,,,,,,,,,,,,,,,,,,,
"Applied Materials","FTABC1","CCFT","USKBC",334413,334416,333242,334112,334118,334220,334513,335314,,,,,,,,,,,,,,,
"Archer Daniels Midland","FTABC1",,,311340,311351,311612,31181,311821,311224,311211,311212,311221,311111,311119,325193,325180,325194,325199,322110,,,,,,,
"AT&T","FTABC1",,,334210,334220,334290,334413,,,,,,,,,,,,,,,,,,,
"Avnet Inc.","FTABC1",,,334412,334313,334416,334417,334418,334419,334413,334220,335999,335911,,,,,,,,,,,,,
"Avon Products Inc.","FTABC1",,,325620,,,,,,,,,,,,,,,,,,,,,,
"Bayer Corporation","CMAC",,,325411,325412,325413,325414,325320,325211,,,,,,,,,,,,,,,,,
"Bear Creek Winery","CCFT",,,312130,,,,,,,,,,,,,,,,,,,,,,
"Bill Barr & Company, Inc. ","AGF3",,,311119,311111,,,,,,,,,,,,,,,,,,,,,
"Blue Diamond Growers","AGF1","CCFT","BDG",111335,311821,311911,,,,,,,,,,,,,,,,,,,,
"Boston Scientific","FTABC1","USKBC",,339112,334510,,,,,,,,,,,,,,,,,,,,,
"BP Amoco ","FTABC1",,,211111,211112,324110,324121,324191,324199,325110,,,,,,,,,,,,,,,,
"Bristol-Myers Squibb Co.","FTABC1","BMSC",,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,,
"Brooks Automation, Inc.","FTABC1",,,333242,334513,334514,334516,334519,335314,333415,,,,,,,,,,,,,,,,
"Brown-Forman Corporation","FTABC1",,,312130,312140,,,,,,,,,,,,,,,,,,,,,
"Brown's International Enterprises, Inc.","FTABC1",,,333241,,,,,,,,,,,,,,,,,,,,,,
"Bunge North America","AGF4",,,311211,311212,311221,311224,311225,311111,311119,311230,311830,311821,311821,311919,311941,325520,325998,324110,325193,,,,,,
"Butterball","AGF3",,,112330,311615,311612,,,,,,,,,,,,,,,,,,,,
"Calmetrics Inc. ","FTABC1",,,334513,334514,,,,,,,,,,,,,,,,,,,,,
"Campbell Soup Company","FTABC1","CT1","CSC",311421,311422,311991,31194,312111,311919,311919,,,,,,,,,,,,,,,,
"Cargill, Inc.","AGF1","CGL",,311211,311212,311221,311224,311225,311351,311611,311612,311613,311615,311930,31194,311314,111920,111120,111140,111150,111199,325211,324191,,,
"Case Farms","AGF3",,,112320,311615,,,,,,,,,,,,,,,,,,,,,
"Case New Holland","FTABC1",,,333111,333112,333120,,,,,,,,,,,,,,,,,,,,
"Caterpillar, Inc.","FTABC1","CCFT","USKBC/CTPLR",333111,333120,333131,333132,333618,333611,33612,335312,,,,,,,,,,,,,,,
"CBOL Corporation","FTABC1",,,336412,336413,332510,325510,325520,325611,324191,334412,334417,334418,334419,313210,313310,313320,313220,313230,326113,336419,332722,334413,335314,335931,335932
"Chevron Corporation","FTABC1","CCFT","CHVR",211111,324110,324191,324199,325110,325180,325199,211112,,,,,,,,,,,,,,,
"Cisco Systems","FTABC1","USKBC",,334210,334290,,,,,,,,,,,,,,,,,,,,,
"Coats North America Inc.","FTABC1",,,313110,313220,,,,,,,,,,,,,,,,,,,,,
"Coca-Cola Company","FTABC1",,,312111,312112,,,,,,,,,,,,,,,,,,,,,
"ConAgra Foods","AGF1","FTABC1","CT1/CAF",311211,311212,311221,311412,311411,311421,311422,311611,311612,311824,311919,311941,311942,311991,,,,,,,,,
