2nd Solutions,LATC,,,,,,,,,,,,,,,,,,,,,,,
3M Company,LATC,CEOS,,325520,327910,326130,339114,334412,334413,334416,334417,334418,334419,334290,33592,334112,334118,334510,339112,327120,327110,325612,334613,334614
"4Life Research, LLC",LATC,,,325411,,,,,,,,,,,,,,,,,,,,
A& K Railroad Materials ,LATC,,,321113,321114,331110,332618,334290,,,,,,,,,,,,,,,,
ABB Group,LATC,,,334512,334513,334514,335311,335312,335313,335314,334416,334417,334418,334419,,,,,,,,,,
Acme Manufacturing Company,LATC,,,333517,,,,,,,,,,,,,,,,,,,,
Adams Land & Cattle Co.,ALCC,ALCC2,,112111,112112,,,,,,,,,,,,,,,,,,,
Adcole ,LATC,,,332216,336320,336419,334513,,,,,,,,,,,,,,,,,
ADS,LATC,,,326122,327332,313210,333318,,,,,,,,,,,,,,,,,
Advanced Machine and Engineering Co. ,LATC,,,333514,333515,333517,332216,,,,,,,,,,,,,,,,,
"AESYS Technologies, LLC ",LATC,,,332410,333414,,,,,,,,,,,,,,,,,,,
Agri Beef Co.,AGF3,,,112111,311611,311612,,,,,,,,,,,,,,,,,,
"AHAUS Tool and Engineering, Inc. ",LATC,,,333519,333517,332410,333611,,,,,,,,,,,,,,,,,
"Air Rover, Inc. ",LATC,,,333415,,,,,,,,,,,,,,,,,,,,
Allied Machine and Engineering Corp. ,LATC,,,333517,,,,,,,,,,,,,,,,,,,,
Alpine Fresh ,LATC,,,111219,111334,111333,111332,111331,111339,311991,115114,,,,,,,,,,,,,
"American and Efird, Inc.",TEX,,,313110,,,,,,,,,,,,,,,,,,,,
American Cast Iron Pipe Company ,LATC,,,331210,332996,339991,324191,332911,332912,332913,332919,,,,,,,,,,,,,
American Cotton Growers,TEX,,,313210,,,,,,,,,,,,,,,,,,,,
Amway,LATC,CEOS,,325620,325611,325612,325411,325412,325413,325414,,,,,,,,,,,,,,
Applied Materials,CCFT,CEOS,,334413,334416,333242,334112,334118,334220,334513,335314,,,,,,,,,,,,,
Archer Daniels Midland Company ,LATC,,,311340,311351,311612,31181,311821,311224,311211,311212,311221,311111,311119,325193,325180,325194,325199,322110,,,,,
Asheboro Elastics ,TEX,,,313220,,,,,,,,,,,,,,,,,,,,
"Atlanta Cable Sales, Inc. ",LATC,,,332618,331420,,,,,,,,,,,,,,,,,,,
AYCO Farms Inc. ,LATC,,,111219,111339,,,,,,,,,,,,,,,,,,,
"Baltimore Dredges, LLC",LATC,,,333120,,,,,,,,,,,,,,,,,,,,
Bear Creek Winery,CCFT,,,312130,,,,,,,,,,,,,,,,,,,,
Big Kaiser Precision Tooling Inc.,LATC,,,333515,333517,333514,,,,,,,,,,,,,,,,,,
"Bill Barr & Company, Inc. ",AGF3,,,311119,311111,,,,,,,,,,,,,,,,,,,
BK Manufacturing ,LATC,,,332710,,,,,,,,,,,,,,,,,,,,
Boeing Company ,LATC,CCFT,,336411,336412,336413,336414,336415,336419,,,,,,,,,,,,,,,
"Boon Edam Tomsed, Inc. ",LATC,,,332321,,,,,,,,,,,,,,,,,,,,
"Bronz Glow Technologies, Inc. ",LATC,,,325998,,,,,,,,,,,,,,,,,,,,
Brown Foreman ,LATC,,,312130,312140,,,,,,,,,,,,,,,,,,,
"Brown's International Enterprises, Inc. ",LATC,,,333241,,,,,,,,,,,,,,,,,,,,
Buhler Quality Yarns Corp. ,TEX,,,313110,,,,,,,,,,,,,,,,,,,,
"Bunge North America, Inc. ",LATC,AGF4,,311224,311225,311221,311111,311119,325199,325193,,,,,,,,,,,,,,
Butterball,AGF3,,,112330,311615,311612,,,,,,,,,,,,,,,,,,
Campbell Hausfeld ,LATC,,,333912,333992,333517,333991,332216,,,,,,,,,,,,,,,,
Campbell Soup Company,LATC,CT1,,311421,311422,311991,31194,312111,311919,311919,,,,,,,,,,,,,,
Cannondale Corp. ,LATC,,,336991,339920,333912,,,,,,,,,,,,,,,,,,
"CarbAmericas, Inc. ",LATC,,,111219,111334,111320,111332,111339,111310,111333,115114,,,,,,,,,,,,,
