"Association","Position","Source",,
"National Oilseed Producers Association","Favor","NOPA","AGF1",
"American Soybean Association","Favor","BCUSCAT","AGF1","USTR1/CMAC2"
"Soybean Producers of America",,,,
"National Cottonseed Products Association",,,,
"National Sunflower Association",,,,
"National Oilseed Processors Association","Favor","BCUSCAT","CMAC2",
"U.S. Canola Association",,,,
"US Dry Bean Council","Favor","AGF1",,
"USA Dry Pea and Lentil Council ","Favor","CMAC2",,
"National Association of Wheat Growers","Favor","WHT","AGF1","CMAC2"
"U.S. Wheat Associates","Favor","WHT","AGF1",
"National Corn Growers Association","Favor","BCUSCAT","NCGA","AGF1/USTR1"
"American Corn Growers Association","Oppose","ACGA",,
"USA Rice Federation","Favor","BCUSCAT","AGF1",
"US Rice Producers Association","Favor","AGF1","CMAC2",
"National Sorghum Products","Favor","AGF1",,
"National Barley Growers Association","Favor","AGF1",,
"American Malting Barley Association",,,,
"Buckwheat Growers Association (of MN)",,,,
"US Grains Council","Favor","USTR1",,
"American Potato Trade Alliance ",,,,
"National Potato Council ","Favor","BCUSCAT","USTR1",
"Washington State Potato Commission ",,,,
"United Fresh Produce Association",,,,
"Produce Marketing Association",,,,
"National Onion Association",,,,
"California Fresh Garlic Producers Association",,,,
"Florida Farmers",,,,
"Florida Fruit & Vegetable Association",,,,
"Florida Tomato Exchange",,,,
"American Seed Trade Association",,,,
"Western Growers",,,,
"Sunkist Growers ",,,,
"California Citrus Mutual ",,,,
"Indian River Citrus League ",,,,
"Florida Citrus Mutual",,,,
"US Apple Association","Favor","USAA","AGF1","USTR1"
"Washington Apple Commission","Favor","CMAC2",,
"California Table Grape Commission","Favor","BCUSCAT","USTR1",
"National Grape Cooperative Association Inc. ",,,,
"California Strawberry Commission ",,,,
"North American Raspberry and Blackberry Association",,,,
"Wisconsin Berry Growers",,,,
"NYS Berry Growers Association",,,,
"Blue Diamond Growers",,,,
"California Walnut Commission",,,,
"Almond Board of California",,,,
"American Pistachio Growers",,,,
"California Pear Growers ",,,,
"California Dried Plum Board ",,,,
"Valley Fig Growers ",,,,
"California Cherry Advisory Board",,,,
"Northwest Pear Bureau",,,,
"California Tree Fruit Agreement",,,,
