"Association",,,,
"National Oilseed Producers Association",,,,
"American Soybean Association","Favor","LATC","AGF2","HSL/AOILC/ASA"
"Soybean Producers of America","Favor","AGF2","AOILC",
"National Cottonseed Products Association","Favor","AOILC",,
"National Sunflower Association","Favor","AGF3","AOILC",
"National Oilseed Processors Association","Favor","LATC","CT1","HSL/AOILC"
"U.S. Canola Association","Favor","AGF3","HSL",
"US Dry Bean Council","Favor","AGF3",,
"USA Dry Pea and Lentil Council ","Favor","LATC","HSL",
"National Association of Wheat Growers","Favor","LATC","HSL",
"U.S. Wheat Associates","Favor","LATC","AGF2",
"National Corn Growers Association","Favor","LATC","AGF2","HSL/CT3/NCGA"
"American Corn Growers Association",,,,
"Fair Atlantic Salmon Trade","Favor","LATC",,
"US Rice Producers Association","Favor","CT1","USTR1",
"National Sorghum Products","Favor","LATC","AGF2",
"National Barley Growers Association","Favor","LATC","AGF2","HSL"
"American Malting Barley Association",,,,
"Buckwheat Growers Association (of MN)",,,,
"US Grains Council","Favor","AGF2",,
"American Potato Trade Alliance ","Favor","AGF2",,
"National Potato Council ","Favor","LATC",,
"Washington State Potato Commission ",,,,
"United Fresh Produce Association","Favor","HSL","UFPA",
"Produce Marketing Association","Favor","LATC","AGLAT",
"National Onion Association",,,,
"California Fresh Garlic Producers Association",,,,
"Florida Farmers",,,,
"Florida Fruit & Vegetable Association",,,,
"Florida Tomato Exchange",,,,
"American Seed Trade Association","Favor","AGF3","AGLAT",
"Western Growers","Favor","LATC","AGF3",
"Sunkist Growers ",,,,
"California Citrus Mutual ",,,,
"Indian River Citrus League ",,,,
"Florida Citrus Mutual",,,,
"US Apple Association","Favor","LATC","USAPP","AGLAT"
"Washington Apple Commission",,,,
"California Table Grape Commission","Favor","LATC","AGF3","CT1"
"National Grape Cooperative Association Inc. ","Favor","AGF3",,
"California Strawberry Commission ","Favor","AGF3",,
"North American Raspberry and Blackberry Association",,,,
"Wisconsin Berry Growers",,,,
"NYS Berry Growers Association",,,,
"Blue Diamond Growers","Favor","LATC","AGF3",
"California Walnut Commission","Favor","AGF3",,
"Almond Board of California",,,,
"American Pistachio Growers",,,,
"California Pear Growers ","Favor","AGF3",,
"California Dried Plum Board ",,,,
"Valley Fig Growers ",,,,
"California Cherry Advisory Board",,,,
"Northwest Pear Bureau",,,,
"California Tree Fruit Agreement",,,,
"California Fig Advisory Board ",,,,
"American Mushroom Institute",,,,
"Mushroom Farms of Pennsylvania",,,,
"American Nursery and Landscape Association",,,,
"California Cut Flower Commission","Neutral","CCFC",,
"Flower Growers of Puget Sound",,,,
"Floral Trade Council",,,,
"Leaf Tobacco Exporters Council",,,,
"US Tobacco Cooperative",,,,
"North Carolina Cotton Producers Association",,,,
"American Sugar Alliance ",,,,
"Florida Sugar Cane League, Inc.",,,,
"National Grain and Feed Association","Favor","LATC","AGF3","CT1"
"U.S. Beet Sugar Association ",,,,
"California Beet Growers Association, Ltd.",,,,
"American Peanut Council",,,,
"American Peanut Shellers Association",,,,
"American Peanut Product Manufacturers, Inc.","Favor","AGF3",,
"National Cattleman's Beef Association","Favor","LATC","AGF3","NCBA"
"Ranchers-Cattlemen Action Legal Fund","Oppose","RCALF",,
"Independent Cattlemen Of Wyoming",,,,
"Independent Cattlemen of Nebraska (ICON)",,,,
"Independent Cattlemen of Texas",,,,
"Kansas Cattlemen",,,,
"Montana Cattlemen's Association",,,,
"Nevada Livestock Association",,,,
"South Dakota Stockgrowers Association",,,,
"American Meat Institute","Favor","LATC","AGF3","CT1/FI1/AMI"
"National Meat Association","Favor","AGF3",,
"US Meat Export Federation","Favor","AGF3",,
"Cattle Producers of Washington",,,,
"Kansas Cattlemen?�?�??s Association",,,,
"American Dairy Products Institute ",,,,
"International Dairy Foods Association","Favor","LATC","AGF3","CT1/FI1"
"National Milk Producers Federation","Favor","LATC","AGF3","CT1/NMPF"
"Land O'Lakes","Favor","AGF3",,
"Northwest Dairy Association","Favor","AGF3",,
"U.S. Dairy Export Council","Favor","LATC","AGF3","CT1/USDEC"
"Alliance of Western Milk Producers ",,,,
"Dairy Farmers of America ","Favor","DFPA",,
"Southeast Dairy Farmers Association","Favor","AGF4",,
"California Dairy Campaign",,,,
"Farm And Ranch Freedom Alliance",,,,
"National Pork Producers Council","Favor","LATC","AGF3","CT1"
"USA Poultry and Egg Export Council","Favor","LATC","AGF3",
"United Egg Association ","Favor","LATC","AGF3",
"United Egg Producers ","Favor","LATC","AGF3",
"American Association of Meat Processors",,,,
"U.S. Poultry and Egg Council","Favor","AGF3",,
"National Chicken Council ","Favor","LATC","AGF3","FI1/NCC"
"National Turkey Federation ","Favor","LATC","AGF3","FI1"
"American Sheep Industry Association",,,,
"American Dairy Goat Association",,,,
"American Meat Goat Association ",,,,
"American Beekeeping Federation",,,,
"Western Apicultural Society",,,,
"Fur Commission USA",,,,
"Fur Information Council of America",,,,
"U.S. Oil and Gas Association",,,,
"American Petroleum Institute",,,,
"National Mining Association",,,,
"West Virgina Coal Association",,,,
"Virginia Mining Association",,,,
"Bituminous Coal Operators Association",,,,
"Iron Mining Association of Minnesota",,,,
"Northwest Mining Association",,,,
"National Stone, Sand & Gravel Association ",,,,
"National Building Grantie Quarries Association",,,,
"Arizona Rock Products Association ",,,,
"Florida Limerock & Aggregate Institute ",,,,
"Missouri Limestone Producers Association ",,,,
"Industrial Minerals Association ?�?�?? North America ",,,,
"Mineral Wool Insulation Manufacturers Association ",,,,
"Georgia Mining Associaiton",,,,
"Pet Food Institute","Favor","LATC","AGF3","FI1"
"World Pet Association",,,,
"American Feed Industry Association","Favor","LATC","AGF3","AGLAT"
"North American Millers' Association","Favor","LATC","AGF4",
"Rice Millers' Association","Favor","CT1",,
"Corn Refiners Association","Favor","LATC","AGF3","CT1/CRA"
"National Confectioners Association of the U.S.","Favor","AGF3","FI1",
"Western Candy Conference",,,,
"American Frozen Food Institute ","Favor","LATC","AGF3","FI1"
"National Frozen Pizza Institute","Favor","FI1",,
"Grocery Manufacturers Association","Favor","LATC","AGF3","FI1/HSL/GMA"
"Institute of Shortening and Edible Oils",,,,
"National Association for the Specialty Food Trade ",,,,
"California Association of Winegrape Growers",,,,
"Canned Food Alliance",,,,
"American Fruit and Vegetable Processors and Growers Coalition",,,,
"Sunmaid Growers of California ",,,,
"Sunsweet Growers Inc. ",,,,
"American Dehydrated Onion and Garlic Association",,,,
"Seafood Products Association",,,,
"Crawfish Processors' Alliance",,,,
"Fair Atlantic Salmon Trade",,,,
"Southern Shrimp Alliance",,,,
"National Fisheries Institute","Favor","HSL",,
"Pacific Seafood Processors Association ",,,,
"West Coast?�?�?�Seafood Processors Association",,,,
"At-sea Processors Association",,,,
"American Bakers Association","Favor","LATC","FI1",
"Independent Bakers Association",,,,
"Biscuit and Cracker Manufacturers Association",,,,
"Snack Food Association","Favor","FI1",,
"National Pasta Association",,,,
"Tortilla Industry Association",,,,
"Peanut and Treenut Processors Association",,,,
"National Coffee Association of U.S.A.","Favor","LATC",,
"Specialty Coffee Association of America ",,,,
"Tea Association of the U.S.A.",,,,
"Juice Products Association",,,,
"American Beverage Association","Favor","FI1",,
"International Bottled Water Association",,,,
"The Beer Institute",,,,
"The Wine Institute",,,,
"Distilled Spirits Council of the United States ","Favor","LATC","AGF3","CT1/FI1/DSC/DISCUS"
"Cigar Association of America",,,,
"Specialty Tobacco Council",,,,
"National Council of Textile Organizations","Favor","LATC","USTR1","TEX"
"National Textile Association",,,,
"United States Industrial Fabrics Institute",,,,
"American Manufacturing Trade Action Coalition ",,,,
"American Apparel and Footwear Association","Favor","LATC","CT1","HSL"
"American Fiber Manufacturers Association","Favor","LATC","TEX",
"The Schiffli Lace and Embroidery Manufacturers?�?�?� ",,,,
"Association of the Nonwoven Fabrics Industry","Favor","LATC",,
"Chemical Fabrics and Films Association",,,,
"National Cotton Council","Favor","LATC","TEX",
"Synthetic Yarn and Fiber Association",,,,
"Carpet and Rug Institute","Favor","LATC",,
"World Floor Covering Association",,,,
"Home Fashion Products Association",,,,
"Textile Bag and Packaging Association",,,,
"Industrial Fabrics Association International",,,,
"The Cordage Institute",,,,
"Canvas Products Association",,,,
"The Hosiery Association",,,,
"National Fashion Accessories Association",,,,
"Fashion Jewelry and Accessories Trade Association",,,,
"Leather Industries of America",,,,
"North American Association of Uniform Manufacturers",,,,
"Outdoor Industry Association","Favor","HSL",,
"United States Hide, Skin and Leather Association","Favor","LATC","AGLAT",
"Rubber and Plastic Footwear Manufacturers Association",,,,
"Travel Goods Association","Favor","LATC","TEX","TGA"
"Southeastern Lumber Manufactuerers Association",,,,
"Western Wood Products Association",,,,
"Southern Forest Products Association",,,,
"American Hardwood Export Council",,,,
"Western Hardwood Association",,,,
"American Walnut Manufacturers Association",,,,
"Hardwood Federation",,,,
"International Wood Products Association","Favor","LATC",,
"APA Engineered Wood Association",,,,
"Wood Product Manufacturers Association",,,,
"US Lumber Coalition",,,,
"Fair Lumber Coalition",,,,
"Coalition for Fair Lumber Imports",,,,
"Softwood Export Council",,,,
"American Softwoods",,,,
"Railway Tie Association",,,,
"Treated Wood Council",,,,
"Western Wood Preservers Institute",,,,
"Hardwood Plywood and Veneer Association ",,,,
"American Forest and Paper Association","Favor","LATC","CT1",
"Paperboard Packaging Council",,,,
"Foodservice Packaging Institute",,,,
"Paper Shipping Sack Manufacturers' Association",,,,
"Business Solutions Association",,,,
"Envelope Manufacturers Association",,,,
"Composite Lumber Manufacturers Association",,,,
"Window and Door Manufacturers Association",,,,
"Architectural Woodwork Institute",,,,
"Wood Moulding and Millwork Producers Association",,,,
"National Wood Pallet and Container Association",,,,
"Manufactured Housing Institute",,,,
"Fibre Box Association",,,,
"Association of Independent Corrugated Converters","Favor","AICC",,
"Manufacturers Representatives of America",,,,
"National Petrochemical and Refiners Association",,,,
"Western States Petroleum Association",,,,
"Independent Petroleum Institute of America",,,,
"Asphalt Institute",,,,
"National Asphalt Pavement Association",,,,
"Asphalt Roofing Manufacturers Association",,,,
"National Lubricating Grease Institute",,,,
"Independent Lubricant Manufacturers Association",,,,
"American Chemistry Council","Favor","LATC","ACC",
"Society of Chemical Manufacturers and Affiliates","Favor","SOCMA",,
"American Coke and Coal Chemicals Institute",,,,
"American Fuel and Petrochemical Manufacturers",,,,
"Color Pigment Manufacturers Association",,,,
"Chlorine Institute",,,,
"International Carbon Black Association",,,,
"Renewable Fuels Association",,,,
"Growth Energy",,,,
"Pine Chemicals Association",,,,
"Methanol Institute",,,,
"Society of the Plastics Industry","Favor","HSL","SPI/SPI2",
"Western Plastics Association",,,,
"PET Resin Association",,,,
"Methacrylate Producers Association ",,,,
"Basic Acrylic Monomer Manufacturers",,,,
"EPS Industry Alliance",,,,
"International Institute of Synthetic Rubber Producers",,,,
"Fertilizer Institute","Favor","AGF4",,
"Chemical Producers and Distributors Association",,,,
"CropLife America","Favor","CLA",,
"Generic Pharmaceutical Association",,,,
"Consumer Healthcare Products Association",,,,
"Biotechnology Industry Association",,,,
"American Coatings Association",,,,
"Adhesive and Sealant Council",,,,
"American Cleaning Institute",,,,
"Consumer Specialty Products Association",,,,
"Personal Care Products Council","Favor","LATC","PCPC",
"National Association of Printing Ink Manufacturers",,,,
"Institute of Makers of Explosives",,,,
"International Imaging Industry Association",,,,
"Polyethylene Retail Carrier Bag Committee",,,,
"Flexible Packaging Association",,,,
"Plastics Pipe Institute",,,,
"Plastic Pipe and Fittings Association",,,,
"Polyurethane Foam Association",,,,
"National Association for PET Container Resources",,,,
"Rubber Manufacturers Association",,,,
"Association of Rubber Products Manufacturers",,,,
"National Association of Hose and Accessories Distribution",,,,
"Tire Industry Association",,,,
"National Lime Association",,,,
"American Association of Ceramic Component Manufacturers",,,,
"Glass Association of North America ",,,,
"National Glass Association",,,,
"Insulating Glass Manufacutrers Alliance",,,,
"Portland Cement Association",,,,
"Slag Cement Association",,,,
"American Concrete Institute",,,,
"National Ready Mixed Concrete Association",,,,
"National Concrete Masonry Institute ",,,,
"National Precast Concrete Association",,,,
"Gypsum Association",,,,
"Unified Abrasive Manufacturers Association",,,,
"Coated Abrasives Fabricators Association ",,,,
"Porcelain Enamel Institute",,,,
"Tile Council of North America ",,,,
"Brick Industry Association",,,,
"Steel Manufacturers Association",,,,
"American Iron and Steel Institute",,,,
"Specialty Steel Industry of North America",,,,
"American Institute for International Steel",,,,
"Steel Tube Institute of North America",,,,
"National Corrugated Steel Pipe Association",,,,
"Committee on Pipe and Tube Imports",,,,
"Cold Finished Steel Bar Institute",,,,
"American Wire Producers Association",,,,
"Aluminum Association",,,,
"Aluminum Extruders Council",,,,
"International Copper Association",,,,
"Copper & Brass Fabricators Council",,,,
"American Tin Trade Association ",,,,
"International Zinc Association",,,,
