"Association",,,,
"National Oilseed Producers Association",,,,
"American Soybean Association","Favor","USMEFTC","CRS1",
"Soybean Producers of America",,,,
"National Cottonseed Products Association",,,,
"National Sunflower Association",,,,
"National Oilseed Processors Association",,,,
"U.S. Canola Association",,,,
"US Dry Bean Council",,,,
"USA Dry Pea and Lentil Council ",,,,
"National Association of Wheat Growers","Favor","HWM1",,
"U.S. Wheat Associates","Favor","HWM1",,
"National Corn Growers Association","Favor","USMEFTC","HWM1",
"American Corn Growers Association",,,,
"USA Rice Federation",,,,
"US Rice Producers Association",,,,
"National Sorghum Products",,,,
"National Barley Growers Association",,,,
"American Malting Barley Association",,,,
"Buckwheat Growers Association (of MN)",,,,
"US Grains Council",,,,
"American Potato Trade Alliance ",,,,
"National Potato Council ",,,,
"Washington State Potato Commission ",,,,
"United Fresh Produce Association",,,,
"Produce Marketing Association",,,,
"National Onion Association",,,,
"California Fresh Garlic Producers Association",,,,
"Florida Farmers",,,,
"Florida Fruit & Vegetable Association",,,,
"Florida Tomato Exchange",,,,
"American Seed Trade Association",,,,
"Western Growers",,,,
"Sunkist Growers ",,,,
"California Citrus Mutual ",,,,
"Indian River Citrus League ",,,,
"Florida Citrus Mutual",,,,
"US Apple Association",,,,
"Washington Apple Commission",,,,
"California Table Grape Commission",,,,
"National Grape Cooperative Association Inc. ",,,,
"California Strawberry Commission ",,,,
"North American Raspberry and Blackberry Association",,,,
"Wisconsin Berry Growers",,,,
"NYS Berry Growers Association",,,,
"Blue Diamond Growers",,,,
"California Walnut Commission",,,,
"Almond Board of California",,,,
"American Pistachio Growers",,,,
"California Pear Growers ",,,,
"California Dried Plum Board ",,,,
"Valley Fig Growers ",,,,
"California Cherry Advisory Board",,,,
"Northwest Pear Bureau",,,,
"California Tree Fruit Agreement",,,,
"California Fig Advisory Board ",,,,
"American Mushroom Institute",,,,
"Mushroom Farms of Pennsylvania",,,,
"American Nursery and Landscape Association",,,,
"California Cut Flower Commission",,,,
"Flower Growers of Puget Sound",,,,
"Floral Trade Council",,,,
"Leaf Tobacco Exporters Council",,,,
"US Tobacco Cooperative",,,,
"North Carolina Cotton Producers Association",,,,
"American Sugar Alliance ",,,,
"Florida Sugar Cane League, Inc.",,,,
"National Grain and Feed Association",,,,
"U.S. Beet Sugar Association ",,,,
"California Beet Growers Association, Ltd.",,,,
