"Association","Coding","Source1","Source2","Source3","Sources4"
"National Oilseed Producers Association","Favor","CT27","AGNAF","AGNAF","FTCOAL"
"American Soybean Association","Favor","CT2","CT3","CT14","USANAFTA/AGNAF/FTCOAL"
"Soybean Producers of America",,,,,
"National Cottonseed Products Association","Favor","USANAFTA",,,
"National Sunflower Association","Favor","USANAFTA","AGNAF",,
"National Oilseed Processors Association","Favor","USANAFTA",,,
"U.S. Canola Association",,,,,
"US Dry Bean Council",,,,,
"USA Dry Pea and Lentil Council ",,,,,
"National Association of Wheat Growers","Favor","CT20","CT26",,
"U.S. Wheat Associates",,,,,
"National Corn Growers Association","Favor","CT3","CT15","CT14","CT19/CT20/CT22/CT24/CT26/USANAFTA/AGNAF/CT16"
"American Corn Growers Association","Oppose","CT1","CT14","CT19",
"USA Rice Federation",,,,,
"US Rice Producers Association",,,,,
"National Sorghum Products","Favor","CT14","USANAFTA","AGNAF",
"National Barley Growers Association","Favor","CT19",,,
"American Malting Barley Association",,,,,
"Buckwheat Growers Association (of MN)",,,,,
"US Grains Council",,,,,
"American Potato Trade Alliance ",,,,,
"National Potato Council ","Oppose","CT2","CT7","CT14",
"Washington State Potato Commission ",,,,,
"United Fresh Produce Association","Divided","CT2","CT3","CT14","CT20/CT27"
"Produce Marketing Association",,,,,
"National Onion Association",,,,,
"California Fresh Garlic Producers Association",,,,,
"Florida Farmers",,,,,
"Florida Fruit & Vegetable Association","Oppose","CT3","CT6","CT1","CT5/CT15/CT20/CT27"
"Florida Tomato Exchange","Oppose","CT2","CT3","CT6","CT1/CT5/CT7/CT14/CT15/CT27"
"American Seed Trade Association","Favor","AGNAF",,,
"Western Growers Association","Oppose","CT14","CT12",,
"Sunkist Growers ","Favor","USANAFTA",,,
"California Citrus Mutual ","Oppose","CT5","CT27",,
"Indian River Citrus League ","Oppose","CT27",,,
"Florida Citrus Mutual","Oppose","CT2","CT6","CT5","CT26/CT27"
"US Apple Association",,,,,
"Washington Apple Commission","Favor","AGNAF",,,
"California Table Grape Commission",,,,,
"National Grape Cooperative Association Inc. ",,,,,
"California Strawberry Commission ",,,,,
"North American Raspberry and Blackberry Association",,,,,
"Wisconsin Berry Growers",,,,,
"NYS Berry Growers Association",,,,,
"Blue Diamond Growers","Favor","CT3","CT14","CT27","AGNAF"
"California Walnut Commission",,,,,
"Almond Board of California",,,,,
"American Pistachio Growers",,,,,
"California Pear Growers ",,,,,
"California Dried Plum Board ",,,,,
"Valley Fig Growers ",,,,,
"California Cherry Advisory Board",,,,,
"Northwest Pear Bureau",,,,,
"California Tree Fruit Agreement",,,,,
"California Fig Advisory Board ",,,,,
"American Mushroom Institute",,,,,
"Mushroom Farms of Pennsylvania",,,,,
"American Nursery and Landscape Association",,,,,
"California Cut Flower Commission","Oppose","CT7","CT15",,
"Flower Growers of Puget Sound",,,,,
"Floral Trade Council","Oppose","CT5","CT7","CT15",
"Leaf Tobacco Exporters Council",,,,,
"US Tobacco Cooperative",,,,,
"North Carolina Cotton Producers Association",,,,,
"American Sugar Alliance ","Oppose","CT3","CT1","CT27",
"Florida Sugar Cane League, Inc.","Oppose","CT3","CT1","CT20","CT27"
"National Grain and Feed Association","Favor","CT3","CT26","CT27","AGNAF"
"U.S. Beet Sugar Association ","Oppose","CT3","CT1","CT20","CT27"
"California Beet Growers Association, Ltd.",,,,,
"American Peanut Council",,,,,
"American Peanut Shellers Association",,,,,
"American Peanut Product Manufacturers, Inc.",,,,,
"National Cattleman's Beef Association","Favor","CT3","CT6","CT19","CT20/CT25/CT27/AGNAF"
"Ranchers-Cattlemen Action Legal Fund",,,,,
"Independent Cattlemen Of Wyoming",,,,,
"Independent Cattlemen of Nebraska (ICON)",,,,,
"Independent Cattlemen of Texas",,,,,
"Kansas Cattlemen",,,,,
"Montana Cattlemen's Association",,,,,
"Nevada Livestock Association",,,,,
"South Dakota Stockgrowers Association",,,,,
"American Meat Institute","Favor","CT3","CT20","CT27","USANAFTA/AGNAF"
"National Meat Association",,,,,
"US Meat Export Federation","Favor","CT3",,,
"Cattle Producers of Washington",,,,,
"Kansas Cattlemen's Association",,,,,
"American Dairy Products Institute ","Favor","USANAFTA",,,
"International Dairy Foods Association","Favor","CT19","USANAFTA","AGNAF",
"National Milk Producers Federation","Oppose","CT3","CT20","CT14","AGNAF"
"Land O'Lakes","Favor","AGNAF",,,
"Northwest Dairy Association",,,,,
"U.S. Dairy Export Council",,,,,
"Alliance of Western Milk Producers ","Favor","AGNAF",,,
"Dairy Farmers of America ",,,,,
"Southeast Dairy Farmers Association",,,,,
"California Dairy Campaign",,,,,
"Farm And Ranch Freedom Alliance",,,,,
"National Pork Producers Council","Favor","CT2","CT27","AGNAF",
"USA Poultry and Egg Export Council",,,,,
"United Egg Association ","Favor","USANAFTA","AGNAF",,
"United Egg Producers ","Favor","USANAFTA","AGNAF",,
"American Association of Meat Processors",,,,,
"U.S. Poultry and Egg Council",,,,,
"National Chicken Council ","Favor","CT19","AGNAF",,
"National Turkey Federation ",,,,,
"American Sheep Industry Association","Favor","CT27",,,
"American Dairy Goat Association",,,,,
"American Meat Goat Association ",,,,,
"American Beekeeping Federation",,,,,
"Western Apicultural Society",,,,,
"Fur Commission USA",,,,,
"Fur Information Council of America",,,,,
"U.S. Oil and Gas Association",,,,,
"American Petroleum Institute","Favor","USANAFTA","FTCOAL",,
"National Mining Association","Favor","USANAFTA",,,
"West Virgina Coal Association",,,,,
"Virginia Mining Association",,,,,
"Bituminous Coal Operators Association",,,,,
"Iron Mining Association of Minnesota",,,,,
"Northwest Mining Association",,,,,
"National Stone, Sand & Gravel Association ",,,,,
"National Building Grantie Quarries Association",,,,,
"Arizona Rock Products Association ",,,,,
"Florida Limerock & Aggregate Institute ",,,,,
"Missouri Limestone Producers Association ",,,,,
"Industrial Minerals Association ___ North America ",,,,,
"Mineral Wool Insulation Manufacturers Association ",,,,,
"Georgia Mining Associaiton",,,,,
"Pet Food Institute",,,,,
"World Pet Association",,,,,
"American Feed Industry Association","Favor","USANAFTA","AGNAF",,
"North American Millers' Association","Favor","AGNAF",,,
"Rice Millers' Association","Favor","CT14","CT20","AGNAF",
"Corn Refiners Association","Favor","AGNAF",,,
"National Confectioners Association of the U.S.","Favor","CT2","USANAFTA","AGNAF",
"Western Candy Conference",,,,,
"American Frozen Food Institute ","Favor","USANAFTA",,,
"National Frozen Pizza Institute",,,,,
"Grocery Manufacturers Association","Favor","USANAFTA","AGNAF","FTCOAL",
"Institute of Shortening and Edible Oils","Favor","USANAFTA",,,
"National Association for the Specialty Food Trade ",,,,,
"California Association of Winegrape Growers",,,,,
"Canned Food Alliance",,,,,
"American Fruit and Vegetable Processors and Growers Coalition",,,,,
"Sunmaid Growers of California ",,,,,
"Sunsweet Growers Inc. ",,,,,
"American Dehydrated Onion and Garlic Association","Oppose","CT2",,,
"Seafood Products Association",,,,,
"Crawfish Processors' Alliance",,,,,
"Fair Atlantic Salmon Trade",,,,,
"Southern Shrimp Alliance",,,,,
"National Fisheries Institute",,,,,
