Item Code,CPC Code,Item
1,'F0001,Total population
101,'01195,Canary seed
1016,'02123,Goats
1017,'21116,Meat; goat
1018,'21156,Offals; edible; goats
1019,'21515,Fat; goats
1020,'02292,Milk; whole fresh goat
1021,'22254,Cheese; goat milk
1022,'22249.02,Butter; goat milk
1023,'22110.06,Milk; skimmed goat
103,'01199.02,Grain; mixed
1034,'02140,Pigs
1035,'21113.01,Meat; pig
1036,'21153,Offals; pigs; edible
1037,'21511.01,Fat; pigs
1038,'21113.02,Meat; pork
1039,'21181,Bacon and ham
104,'23120.10,Flour; mixed grain
1040,'21511.02,Fat; pig butcher
1041,'21184.02,Meat; pig sausages
1042,'F1042,Meat; pig; preparations
1043,'21521,Lard
105,'39120.12,Bran; mixed grains
1057,'02151,Chickens
1058,'21121,Meat; chicken
1059,'21160.01,Offals; liver chicken
1060,'21189.02,Fat; liver prepared (foie gras)
1061,'F1061,Meat; chicken; canned
1062,'0231,Eggs; hen; in shell
1063,'23993.02,Eggs; liquid
1064,'23993.03,Eggs; dried
1065,'21511.03,Fat; poultry
1066,'21522,Fat; poultry; rendered
1068,'02154,Ducks
1069,'21122,Meat; duck
1072,'02153,Geese and guinea fowls
1073,'21123,Meat; goose and guinea fowl
1074,'21160.02,Offals; liver geese
1075,'21160.03,Offals; liver duck
1079,'02152,Turkeys
108,'01199.90,Cereals nes
1080,'21124,Meat; turkey
1081,'21160.04,Offals; liver turkeys
1083,'02194,Pigeons; other birds
1089,'21170.01,Meat; bird nes
109,'23991.01,Infant food
1091,'0232,Eggs; other bird; in shell
1096,'02131,Horses
1097,'21118.01,Meat; horse
1098,'21159.01,Offals; horses
110,'23490.01,Wafers
1107,'02132,Asses
1108,'21118.02,Meat; ass
111,'23120.90,Flour; cereals
1110,'02133,Mules
1111,'21118.03,Meat; mule
112,'39120.13,Bran; cereals nes
1126,'02121.01,Camels
1127,'21117.01,Meat; camel
1128,'21159.02,Offals; edible; camels
1129,'21519.02,Fat; camels
113,'23140.08,Cereal preparations nes
1130,'02293,Milk; whole fresh camel
114,'23180,Mixes and doughs
1140,'02191,Rabbits and hares
1141,'21114,Meat; rabbit
115,'23999.02,Food preparations; flour; malt extract
1150,'02192.01,Rodents; other
1151,'21119.01,Meat; other rodents
1157,'02121.02,Camelids; other
116,'01510,Potatoes
1160,'21519.03,Fat; other camelids
1163,'21170.02,Meat; game
1164,'21183,Meat; dried nes
1166,'21170.92,Meat nes
1167,'21170.93,Offals nes
1168,'21529.03,Oils; fats of animal nes
117,'21392,Flour; potatoes
1171,'02199.20,Animals live nes
1172,'F1172,Meat nes; preparations
1176,'02920,Snails; not sea
118,'21313,Potatoes; frozen
1181,'02196,Beehives
1182,'02910,Honey; natural
119,'23220.05,Starch; potatoes
121,'23230.01,Tapioca; potatoes
122,'01530,Sweet potatoes
1221,'21529.02,Lard stearine oil
1222,'21932.01,Degras
1223,'F1223,Oil; fish; marine mammals
1225,'21523,Tallow
1232,'F1232,Food prep nes
1241,'21700.01,Margarine; liquid
1242,'21700.02,Margarine; short
1243,'F1243,Fat nes; prepared
125,'01520.01,Cassava
126,'23170.01,Flour; cassava
127,'23230.02,Tapioca; cassava
1273,'21693.02,Castor oil; hydrogenated (opal wax)
